STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        691;20241226;   10;   5.1;   2.0;    9;   0.4;   6;    0.000;   0;   8.0;   9.5; 1036.40;    6.5;   98.00;    7.7;    4.1;    4.3;eor
        691;20241227;   10;   4.1;   1.9;    9;   0.0;   6;    0.000;   0;   8.0;   7.4; 1034.10;    2.7;  100.00;    4.2;    0.5;    1.1;eor
        691;20241228;   10;   5.7;   1.8;    9;   0.0;   0;    0.000;   0;   8.0;   6.0; 1029.20;   -0.3;   99.00;    0.8;   -1.0;   -0.3;eor
        691;20241229;   10;   9.6;   4.7;    9;   0.0;   6;    0.000;   0;   7.9;   6.7; 1026.40;    1.6;   97.00;    4.4;   -1.1;   -0.7;eor
        691;20241230;   10;  13.0;   7.0;    9;   0.0;   6;    0.000;   0;   7.8;   8.2; 1024.50;    5.3;   92.00;    6.5;    4.3;    4.1;eor
        691;20241231;   10;  17.8;   6.8;    9;   0.2;   6;    0.000;   0;   7.9;   7.2; 1021.00;    4.1;   88.00;    6.6;    2.2;    2.2;eor
        691;20250101;   10;  22.3;  11.6;    9;   4.7;   6;    0.000;   0;   7.5;   8.3; 1005.90;    7.1;   83.00;    8.7;    5.2;    4.6;eor
        691;20250102;   10;  15.9;   5.9;    9;   0.4;   8;    6.300;   0;   4.1;   6.5; 1008.70;    2.9;   86.00;    5.9;    0.7;   -0.3;eor
        691;20250103;   10;  16.3;   6.7;    9;   3.2;   8;    0.600;   0;   5.6;   5.7; 1012.80;    0.6;   90.00;    2.4;   -1.0;   -2.2;eor
        691;20250104;   10;   8.2;   3.6;    9;   0.0;   6;    0.100;   1;   6.6;   5.8; 1016.30;    0.2;   92.00;    1.9;   -3.3;   -6.5;eor
        691;20250105;   10;  12.7;   4.7;    9;  13.1;   8;    0.000;   0;   7.4;   6.1;  998.40;    1.0;   91.00;   10.7;   -0.5;   -1.6;eor
        691;20250106;   10;  28.5;   9.3;    9;   1.7;   6;    0.500;   0;   7.5;  10.0;  984.50;    9.9;   81.00;   12.3;    4.9;    3.5;eor
        691;20250107;   10;  15.8;   7.7;    9;   0.5;   6;    0.300;   0;   5.8;   6.4;  994.60;    3.8;   79.00;    5.6;    1.6;    0.3;eor
        691;20250108;   10;  13.9;   6.0;    9;   0.0;   6;    5.700;   0;   4.4;   6.0;  999.50;    2.3;   83.00;    4.8;    0.2;   -0.9;eor
        691;20250109;   10;   9.6;   2.4;    9;   3.4;   8;    0.000;   0;   7.0;   6.0; 1000.50;    0.4;   95.00;    1.8;   -2.1;   -3.5;eor
        691;20250110;   10;  13.9;   5.6;    9;   1.6;   8;    0.400;   0;   5.1;   6.3; 1012.50;    1.6;   91.00;    4.1;   -1.3;   -2.6;eor
        691;20250111;   10;  13.4;   3.1;    9;   0.2;   8;    2.600;   0;   2.1;   5.3; 1023.60;   -0.8;   91.00;    2.9;   -3.6;   -4.7;eor
        691;20250112;   10;   7.0;   2.9;    9;   0.0;   0;    7.400;   0;   0.0;   4.9; 1036.30;   -1.2;   88.00;    3.7;   -5.7;   -6.8;eor
        691;20250113;   10;   5.8;   1.9;    9;   0.0;   0;    7.400;   0;   3.1;   4.6; 1040.40;   -2.7;   90.00;    2.6;   -6.8;   -8.4;eor
        691;20250114;   10;   8.4;   4.5;    9;   0.1;   6;    0.000;   0;   7.6;   5.8; 1031.40;    1.0;   87.00;    4.4;   -4.4;   -6.2;eor
        691;20250115;   10;   6.9;   2.6;    9;   0.1;   6;    0.000;   0;   7.8;   8.8; 1031.70;    5.3;   99.00;    6.2;    4.3;    3.1;eor
        691;20250116;   10;   6.3;   3.1;    9;   0.0;   6;    0.000;   0;   8.0;   7.4; 1036.30;    2.9;   98.00;    4.7;   -0.4;    0.0;eor
        691;20250117;   10;   6.0;   2.3;    9;   0.0;   6;    0.000;   0;   8.0;   5.9; 1037.20;   -0.4;  100.00;    0.6;   -1.1;   -0.8;eor
        691;20250118;   10;   4.6;   2.1;    9;   0.0;   8;    0.000;   0;   8.0;   5.2; 1032.70;   -2.0;   99.00;   -0.8;   -3.1;   -2.5;eor
        691;20250119;   10;   4.6;   2.0;    9;   0.0;   6;    0.000;   0;   8.0;   5.3; 1023.50;   -1.8;   99.00;   -0.9;   -2.5;   -2.0;eor
        691;20250120;   10;   5.7;   2.5;    9;   0.0;   8;    0.000;   0;   8.0;   5.1; 1018.80;   -2.2;   97.00;   -1.2;   -2.9;   -2.4;eor
        691;20250121;   10;   6.7;   2.8;    9;   0.0;   0;    0.000;   0;   7.9;   5.4; 1016.50;   -1.2;   97.00;   -0.6;   -2.0;   -1.8;eor
        691;20250122;   10;   6.2;   2.8;    9;   6.2;   6;    3.000;   0;   7.9;   5.7; 1006.40;    0.5;   89.00;    3.7;   -2.9;   -3.5;eor
        691;20250123;   10;  12.9;   5.1;    9;   0.3;   6;    0.900;   0;   7.7;   7.2; 1001.10;    4.3;   87.00;    6.6;    2.5;    2.0;eor
        691;20250124;   10;  13.2;   6.1;    9;   7.9;   6;    0.000;   0;   7.5;   8.5; 1002.00;    6.6;   86.00;    8.5;    3.8;    3.0;eor
        691;20250125;   10;   7.2;   2.6;    9;   3.7;   6;    2.200;   0;   7.2;   8.8; 1003.60;    6.0;   93.00;    7.7;    2.3;    1.3;eor
        691;20250126;   10;  10.8;   2.5;    9;   4.1;   6;    0.100;   0;   7.6;   7.2; 1004.90;    3.8;   90.00;    5.1;    2.9;    2.0;eor
        691;20250127;   10;  22.5;   5.6;    9;   5.4;   6;    3.200;   0;   6.9;   8.6;  991.30;    7.5;   83.00;   12.0;    3.4;    2.8;eor
        691;20250128;   10;   8.7;   4.2;    9;   0.8;   6;    3.200;   0;   5.5;   7.8;  993.30;    6.9;   78.00;   10.2;    3.7;    0.4;eor
        691;20250129;   10;  15.9;   5.7;    9;   2.4;   6;    0.400;   0;   7.2;   8.5;  999.10;    6.7;   86.00;    8.0;    4.9;    2.7;eor
        691;20250130;   10;  10.3;   2.9;    9;   5.2;   6;    0.000;   0;   6.5;   7.9; 1013.40;    4.8;   92.00;    7.0;    1.6;    0.1;eor
        691;20250131;   10;   9.8;   3.5;    9;   0.0;   0;    4.700;   0;   4.3;   6.4; 1025.80;    2.6;   88.00;    7.1;   -1.6;   -3.8;eor
        691;20250201;   10;   3.6;   1.1;    9;   0.0;   6;    0.000;   0;   7.5;   5.7; 1032.10;   -0.8;   99.00;    1.7;   -3.6;   -4.2;eor
        691;20250202;   10;   4.1;   2.0;    9;   0.0;   6;    3.300;   0;   7.0;   5.4; 1026.90;   -1.3;   97.00;    1.7;   -4.6;   -4.9;eor
        691;20250203;   10;   4.1;   1.5;    9;   0.0;   0;    6.700;   0;   6.0;   5.1; 1026.80;   -1.5;   92.00;    3.8;   -5.2;   -5.0;eor
        691;20250204;   10;   6.7;   2.7;    9;   0.0;   6;    0.000;   0;   7.3;   5.7; 1026.90;    0.3;   90.00;    2.8;   -3.5;   -5.3;eor
        691;20250205;   10;   8.1;   3.6;    9;   0.0;   6;    0.000;   0;   7.8;   7.5; 1034.80;    3.8;   93.00;    6.6;    0.6;    0.4;eor
        691;20250206;   10;   7.5;   2.9;    9;   0.2;   6;    3.500;   0;   5.6;   7.4; 1041.80;    4.0;   91.00;    6.4;    1.7;    0.3;eor
        691;20250207;   10;  13.5;   6.5;    9;   0.0;   0;    0.000;   0;   7.5;   5.5; 1034.40;    2.2;   77.00;    3.3;    1.3;   -0.1;eor
        691;20250208;   10;  11.8;   5.1;    9;   0.0;   0;    1.200;   0;   8.0;   5.6; 1026.00;    2.8;   75.00;    5.5;    0.3;   -1.6;eor
        691;20250209;   10;   9.8;   4.4;    9;   0.0;   0;    7.600;   0;   6.0;   5.5; 1030.60;    1.8;   79.00;    5.2;   -0.9;   -2.3;eor
        691;20250210;   10;  12.0;   6.1;    9;   0.0;   0;    3.400;   0;   7.2;   5.4; 1029.20;    2.2;   76.00;    3.8;    0.9;   -0.2;eor
        691;20250211;   10;  13.2;   6.1;    9;   0.7;   8;    0.000;   0;   7.2;   4.6; 1023.60;    0.5;   73.00;    2.0;   -1.5;   -1.4;eor
        691;20250212;   10;   8.9;   4.2;    9;   1.0;   8;    0.000;   0;   7.8;   4.6; 1019.60;   -0.3;   76.00;    1.7;   -2.6;   -3.0;eor
        691;20250213;   10;   8.7;   3.9;    9;   0.1;   8;    0.000;   1;   7.7;   4.8; 1020.60;   -1.3;   87.00;    1.0;   -3.8;   -4.6;eor
        691;20250214;   10;   7.7;   2.9;    9;   0.0;   8;    0.000;   1;   8.0;   5.2; 1027.10;    0.2;   83.00;    1.0;   -0.9;   -1.6;eor
        691;20250215;   10;   5.1;   1.2;    9;   0.0;   0;    0.500;   1;   7.9;   5.0; 1024.90;   -0.2;   84.00;    2.3;   -3.0;   -5.5;eor
        691;20250216;   10;   9.3;   3.6;    9;   0.0;   0;    5.000;   0;   5.6;   4.4; 1024.90;   -0.6;   76.00;    2.5;   -3.4;   -5.0;eor
        691;20250217;   10;   6.2;   2.6;    9;   0.0;   0;    7.200;   0;   1.2;   3.5; 1026.80;   -2.9;   71.00;    2.0;   -6.8;   -9.0;eor
        691;20250218;   10;   8.4;   3.0;    9;   0.0;   0;    9.500;   0;   0.1;   3.1; 1029.40;   -2.8;   64.00;    2.0;   -8.7;  -10.9;eor
        691;20250219;   10;  13.0;   5.6;    9;   0.0;   0;    9.300;   0;   1.1;   3.0; 1027.20;   -0.6;   54.00;    4.8;   -4.6;   -6.4;eor
        691;20250220;   10;   8.2;   4.1;    9;   0.0;   6;    2.900;   0;   6.9;   4.8; 1022.00;    2.2;   65.00;    6.6;   -2.9;   -3.9;eor
        691;20250221;   10;   8.7;   3.7;    9;   0.0;   0;    6.300;   0;   6.8;   9.8; 1019.30;   10.0;   80.00;   15.9;    6.0;    4.7;eor
