Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
691;Bremen;TMK;01.01.1890;14.05.2025;337;Gesamt_Messzeitraum;eor;                                                                                                                                       
691;Bremen;TXK;01.01.1890;14.05.2025;306;Gesamt_Messzeitraum;eor;                                                                                                                                       
691;Bremen;TNK;01.01.1890;14.05.2025;306;Gesamt_Messzeitraum;eor;                                                                                                                                       
691;Bremen;TGK;01.01.1890;14.05.2025;1037;Gesamt_Messzeitraum;eor;                                                                                                                                      
691;Bremen;PM;01.01.1890;14.05.2025;344;Gesamt_Messzeitraum;eor;                                                                                                                                        
691;Bremen;FM;01.01.1890;14.05.2025;7346;Gesamt_Messzeitraum;eor;                                                                                                                                       
691;Bremen;FX;01.01.1890;14.05.2025;47;Gesamt_Messzeitraum;eor;                                                                                                                                         
691;Bremen;UPM;01.01.1890;14.05.2025;412;Gesamt_Messzeitraum;eor;                                                                                                                                       
691;Bremen;VPM;01.01.1890;14.05.2025;412;Gesamt_Messzeitraum;eor;                                                                                                                                       
691;Bremen;NM;01.01.1890;14.05.2025;363;Gesamt_Messzeitraum;eor;                                                                                                                                        
691;Bremen;SDK;01.01.1890;14.05.2025;1433;Gesamt_Messzeitraum;eor;                                                                                                                                      
691;Bremen;RSK;01.01.1890;14.05.2025;371;Gesamt_Messzeitraum;eor;                                                                                                                                       
691;Bremen;RSKF;01.01.1890;14.05.2025;367;Gesamt_Messzeitraum;eor;                                                                                                                                      
691;Bremen;SHK_TAG;01.01.1890;14.05.2025;15083;Gesamt_Messzeitraum;eor;                                                                                                                                 
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
691;Bremen;TMK;01.03.1945;31.01.1946;337;Kriegsjahre;eor;                                                                                                                                               
691;Bremen;TXK;01.03.1945;31.12.1945;306;Kriegsjahre;eor;                                                                                                                                               
691;Bremen;TNK;01.03.1945;31.12.1945;306;Kriegsjahre;eor;                                                                                                                                               
691;Bremen;TGK;01.03.1945;31.12.1947;1036;;eor;                                                                                                                                                         
691;Bremen;TGK;25.12.2002;25.12.2002;1;;eor;                                                                                                                                                            
691;Bremen;PM;01.03.1945;31.01.1946;337;Kriegsjahre;eor;                                                                                                                                                
691;Bremen;PM;11.09.2023;13.09.2023;3;;eor;                                                                                                                                                             
691;Bremen;PM;15.09.2023;18.09.2023;4;;eor;                                                                                                                                                             
691;Bremen;FM;01.01.1931;31.12.1950;7305;;eor;                                                                                                                                                          
691;Bremen;FM;01.02.1992;02.02.1992;2;;eor;                                                                                                                                                             
691;Bremen;FM;01.04.1992;01.04.1992;1;;eor;                                                                                                                                                             
691;Bremen;FM;01.07.1992;01.07.1992;1;;eor;                                                                                                                                                             
691;Bremen;FM;19.11.1992;25.11.1992;7;;eor;                                                                                                                                                             
691;Bremen;FM;07.11.2001;09.11.2001;3;;eor;                                                                                                                                                             
691;Bremen;FM;01.01.2002;01.01.2002;1;;eor;                                                                                                                                                             
691;Bremen;FM;01.04.2002;01.04.2002;1;;eor;                                                                                                                                                             
691;Bremen;FM;04.10.2004;04.10.2004;1;;eor;                                                                                                                                                             
691;Bremen;FM;23.03.2006;23.03.2006;1;;eor;                                                                                                                                                             
691;Bremen;FM;14.08.2006;22.08.2006;9;;eor;                                                                                                                                                             
691;Bremen;FM;15.10.2008;16.10.2008;2;;eor;                                                                                                                                                             
691;Bremen;FM;02.01.2014;02.01.2014;1;;eor;                                                                                                                                                             
691;Bremen;FM;24.11.2019;25.11.2019;2;;eor;                                                                                                                                                             
691;Bremen;FM;15.08.2023;16.08.2023;2;;eor;                                                                                                                                                             
691;Bremen;FM;12.09.2023;18.09.2023;7;;eor;                                                                                                                                                             
691;Bremen;FX;20.11.1992;24.11.1992;5;;eor;                                                                                                                                                             
691;Bremen;FX;22.09.1994;27.09.1994;6;;eor;                                                                                                                                                             
691;Bremen;FX;16.11.1994;22.11.1994;7;;eor;                                                                                                                                                             
691;Bremen;FX;05.09.1996;05.09.1996;1;;eor;                                                                                                                                                             
691;Bremen;FX;08.04.1999;08.04.1999;1;;eor;                                                                                                                                                             
691;Bremen;FX;02.06.1999;02.06.1999;1;;eor;                                                                                                                                                             
691;Bremen;FX;29.07.1999;29.07.1999;1;;eor;                                                                                                                                                             
691;Bremen;FX;30.11.1999;30.11.1999;1;;eor;                                                                                                                                                             
691;Bremen;FX;31.08.2000;31.08.2000;1;;eor;                                                                                                                                                             
691;Bremen;FX;22.11.2000;22.11.2000;1;;eor;                                                                                                                                                             
691;Bremen;FX;07.11.2001;09.11.2001;3;;eor;                                                                                                                                                             
691;Bremen;FX;01.01.2002;01.01.2002;1;;eor;                                                                                                                                                             
691;Bremen;FX;30.01.2002;30.01.2002;1;;eor;                                                                                                                                                             
691;Bremen;FX;01.03.2002;01.03.2002;1;;eor;                                                                                                                                                             
691;Bremen;FX;27.03.2002;27.03.2002;1;;eor;                                                                                                                                                             
691;Bremen;FX;01.04.2002;01.04.2002;1;;eor;                                                                                                                                                             
691;Bremen;FX;21.10.2003;21.10.2003;1;;eor;                                                                                                                                                             
691;Bremen;FX;02.01.2014;02.01.2014;1;;eor;                                                                                                                                                             
691;Bremen;FX;23.11.2019;25.11.2019;3;;eor;                                                                                                                                                             
691;Bremen;FX;14.08.2023;15.08.2023;2;;eor;                                                                                                                                                             
691;Bremen;FX;10.09.2023;12.09.2023;3;;eor;                                                                                                                                                             
691;Bremen;FX;14.09.2023;17.09.2023;4;;eor;                                                                                                                                                             
691;Bremen;UPM;01.03.1945;31.01.1946;337;Kriegsjahre;eor;                                                                                                                                               
691;Bremen;UPM;11.06.1946;23.07.1946;43;Kriegsjahre;eor;                                                                                                                                                
691;Bremen;UPM;05.08.1946;12.08.1946;8;Kriegsjahre;eor;                                                                                                                                                 
691;Bremen;UPM;14.08.2023;14.08.2023;1;;eor;                                                                                                                                                            
691;Bremen;UPM;20.08.2023;24.08.2023;5;;eor;                                                                                                                                                            
691;Bremen;UPM;01.09.2023;18.09.2023;18;;eor;                                                                                                                                                           
691;Bremen;VPM;01.03.1945;31.01.1946;337;Kriegsjahre;eor;                                                                                                                                               
691;Bremen;VPM;11.06.1946;23.07.1946;43;Kriegsjahre;eor;                                                                                                                                                
691;Bremen;VPM;05.08.1946;12.08.1946;8;Kriegsjahre;eor;                                                                                                                                                 
691;Bremen;VPM;14.08.2023;14.08.2023;1;;eor;                                                                                                                                                            
691;Bremen;VPM;20.08.2023;24.08.2023;5;;eor;                                                                                                                                                            
691;Bremen;VPM;01.09.2023;18.09.2023;18;;eor;                                                                                                                                                           
691;Bremen;NM;01.03.1945;31.01.1946;337;Kriegsjahre;eor;                                                                                                                                                
691;Bremen;NM;14.08.2023;14.08.2023;1;;eor;                                                                                                                                                             
691;Bremen;NM;18.08.2023;18.08.2023;1;;eor;                                                                                                                                                             
691;Bremen;NM;20.08.2023;24.08.2023;5;;eor;                                                                                                                                                             
691;Bremen;NM;28.08.2023;28.08.2023;1;;eor;                                                                                                                                                             
691;Bremen;NM;01.09.2023;18.09.2023;18;;eor;                                                                                                                                                            
691;Bremen;SDK;01.03.1945;31.01.1949;1433;;eor;                                                                                                                                                         
691;Bremen;RSK;28.02.1945;27.02.1946;365;Kriegsjahre;eor;                                                                                                                                               
691;Bremen;RSK;10.02.2010;10.02.2010;1;;eor;                                                                                                                                                            
691;Bremen;RSK;11.09.2023;12.09.2023;2;;eor;                                                                                                                                                            
691;Bremen;RSK;25.03.2025;25.03.2025;1;;eor;                                                                                                                                                            
691;Bremen;RSK;29.03.2025;30.03.2025;2;;eor;                                                                                                                                                            
691;Bremen;RSKF;28.02.1945;27.02.1946;365;Kriegsjahre;eor;                                                                                                                                              
691;Bremen;RSKF;10.02.2010;10.02.2010;1;;eor;                                                                                                                                                           
691;Bremen;RSKF;12.09.2023;12.09.2023;1;;eor;                                                                                                                                                           
691;Bremen;SHK_TAG;01.01.1896;09.01.1896;9;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;11.01.1896;15.01.1896;5;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;17.01.1896;19.12.1896;338;;eor;                                                                                                                                                      
691;Bremen;SHK_TAG;27.12.1896;28.12.1896;2;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;30.12.1896;09.01.1897;11;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;18.01.1897;21.01.1897;4;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;13.02.1897;05.02.1898;358;;eor;                                                                                                                                                      
691;Bremen;SHK_TAG;07.02.1898;05.03.1898;27;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;07.03.1898;23.03.1898;17;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;25.03.1898;26.03.1898;2;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;28.03.1898;01.02.1899;311;;eor;                                                                                                                                                      
691;Bremen;SHK_TAG;03.02.1899;04.03.1899;30;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;06.03.1899;19.03.1899;14;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;21.03.1899;22.03.1899;2;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;29.03.1899;11.12.1899;258;;eor;                                                                                                                                                      
691;Bremen;SHK_TAG;17.12.1899;15.01.1900;30;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;17.01.1900;11.02.1900;26;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;18.02.1900;13.03.1900;24;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;16.03.1900;31.12.1900;291;;eor;                                                                                                                                                      
691;Bremen;SHK_TAG;20.01.1901;26.01.1901;7;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;28.01.1901;28.01.1901;1;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;02.02.1901;02.02.1901;1;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;04.02.1901;04.02.1901;1;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;06.02.1901;10.02.1901;5;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;27.02.1901;11.03.1901;13;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;13.03.1901;24.03.1901;12;;eor;                                                                                                                                                       
691;Bremen;SHK_TAG;26.03.1901;27.03.1901;2;;eor;                                                                                                                                                        
691;Bremen;SHK_TAG;29.03.1901;10.12.1901;257;;eor;                                                                                                                                                      
691;Bremen;SHK_TAG;14.12.1901;25.01.1902;43;;eor;                                                                                                                                                       
